Page/group,Date of obs,Date of pub,Period of obs,Brief description,Content Type,Strategies,Calls to action,Engagement metrics,Like ,Heart,Haha,Angry,Surprised,Sad,Cares (new),Comments (No.),,Shares,"Fact checking, if possible"
We Support Narendra Modi,1st April,1st April,10am-6pm,roadside vendor washing his utensils with a tap on the road (unhygienic?),C3,-,-,,5,,1,15,,1,,3,,,
We Support Narendra Modi,1st April,1st April,10am-6pm,on triple talaq and CAA/NRC,C4,-,-,,10,,1,,,,,,,,
We Support Narendra Modi,1st April,1st April,10am-6pm,WP-Music video of PM Modi's mother and himself,C3,-,-,,6,,,,,,,,,,
We Support Narendra Modi,1st April,1st April,10am-6pm,Nizamuddin SHO talking to Tablighi jamaat on 23rd March,C3,-,-,,1,,,,,,,,,,
We Support Narendra Modi,1st April,1st April,10am-6pm,article about foreign Muslim citizens found hiding in mosques,C1,-,-,,11,,,10,,3,,,,,
We Support Narendra Modi,1st April,1st April,10am-6pm,video of Durgashtami prayers/chanting,C3,-,-,,5,,,,,,,,,,
We Support Narendra Modi,1st April,1st April,10am-6pm,celebrating/thanking police efforts during covid-19,C3,-,-,,2,,,,,,,,,,
We Support Narendra Modi,1st April,1st April,10am-6pm,Shahada police assisting roadside labourer,C3,-,-,,153,29,1,,,,,25,,,
We Support Narendra Modi,1st April,1st April,10am-6pm,Ramayana show DD national,C3,-,-,,285,36,1,,1,2,,27,,,
We Support Narendra Modi,1st April,1st April,10am-6pm,Ramayana show DD national,C3,-,-,,84,,,,,,,,,,
We Support Narendra Modi,1st April,1st April,10am-6pm,pictures of broadcast news Aaj Tak describing corona positive muslims spitting at police,C4,-,-,,2,,,,,,,,,,
We Support Narendra Modi,1st April,1st April,10am-6pm,poster comparing kejriwal and ajay bisht,C4,-,-,,44,,,,,,,58,,,
We Support Narendra Modi,1st April,1st April,10am-6pm,"video explaining the ""truth of delhi riots"", originally shared by Kapil Mishra",C3,S2,-,,2,,,,1,,,,"opposition critique, absolving kapil mishra, bashing anti CAA protests",,
