Date of obs,Date of pub,Period of obs,Brief decsription,Content Type,Strategies,Calls to action,Engagement metrics,Like ,Heart,Haha,Angry,Surprised,Tears,Comments (No.),,Page/Account/Group,,share,views,Hug,Thinking
1-Apr-20,31-Mar-20,10 am to 5 pm,"Blaming Chinese, Islamic Conspiracy behind coronavirus spread",C3,S2,-,"most people agreeing with the video, writing jai shree ram, using words like traitors and saying situation is bad from england to lucknow",411,145,2,0,4,0,574,,Aryan Singh,,156,4.1 K,,
1-Apr-20,1-Apr-20,10 am to 5 pm,Ramnavami wish,C5,-,-,wishing Ram navami to each other,266,67,0,0,6,0,73,,Aryan Singh,,1,,,
1-Apr-20,31-Mar-20,10 am to 5 pm,Social work about coronavirus,C4,-,-,praising the social work,125,8,0,0,1,0,3,,Hindu Putra,,6,,,
1-Apr-20,1-Apr-20,10 am to 5 pm,"a jingle saying the day Hindutva wakes up, even the ones with skull cap will say jai shree ram",C3,-,-,Most people just commenting jai shree ram,308,38,1,0,1,0,22,,Hindu Putra,,68,,,
1-Apr-20,31-Mar-20,10 am to 5 pm,meme saying have one metre distance with all men and 1 kilometre distance from all maulanas,C2,-,-,no comments,22,2,0,0,0,0,0,,Hindu Putra - G,,1,,,
1-Apr-20,31-Mar-20,10 am to 5 pm,A cartoon saying Hindus and Sikhs helpes but Muslims brought Coronavirus,C4,S1,-,no comments,6,0,0,0,0,0,0,,Hindu Putra - G,,0,,,
1-Apr-20,31-Mar-20,10 am to 5 pm,"meme saying gurudwara distributed langar, mandir donated money and masjid distributed coronavirus",C2,S1,-,one comment agreeing to the post,6,0,0,0,0,1,1,,Hindu Putra - G,,1,,,
1-Apr-20,1-Apr-20,10 am to 5 pm,news clip about nizamuddin coronavirus incident,C1,S2,-,no comments,3,0,0,0,0,0,0,,Hindu Putra - G,,0,,,
1-Apr-20,1-Apr-20,10 am to 5 pm,videos showing the food quality given allegdly by Delhi government,C3,S2,-,one comment using sarcastic praise,11,1,0,0,0,0,1,,Hindu Putra - G,,4,,,
1-Apr-20,1-Apr-20,10 am to 5 pm,tiktok video of three muslims guys saying corona virus is God's NRC and now he will decide who will survive and wo will not,C3,S2,-,comments calling them names and saying NRC was right,13,0,18,8,0,1,19,,Hindu Putra - G,,7,,,
